Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Hyundai,Hyundai 2026 + April.xlsx,2025-04-01,add-to-wishlist,en,Unknown,,1270.0,,0.0186,19.42,1.23,,,82.0,19.08,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-05-01,add-to-wishlist,en,Unknown,,1884.0,,0.0216,19.4,1.02,,,250.0,7.68,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-06-01,add-to-wishlist,en,Unknown,,1804.0,,0.0221,20.18,1.06,,,239.0,8.03,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-07-01,add-to-wishlist,en,Unknown,,2112.0,,0.0249,19.63,0.91,,,264.0,7.27,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,add-to-wishlist,en,Unknown,,2297.0,,0.0257,19.13,0.84,,,327.0,5.87,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,add-to-wishlist,en,Unknown,,4357.0,,0.0256,20.19,0.88,,,598.0,6.42,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,add-to-wishlist,en,Unknown,,4909.0,,0.0245,18.38,0.98,,,408.0,11.75,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,add-to-wishlist,en,Unknown,,3903.0,,0.0271,21.18,0.86,,,457.0,7.35,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,add-to-wishlist,en,Unknown,,3271.0,,0.0251,19.49,0.94,,,434.0,7.05,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,add-to-wishlist,en,Unknown,,4470.0,,0.017,12.65,0.86,,,1191.0,3.22,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,add-to-wishlist,en,Unknown,,4691.0,,0.0197,14.77,0.86,,,1416.0,2.86,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-03-01,add-to-wishlist,en,Unknown,,3979.0,,0.0223,17.65,0.94,,,1094.0,3.41,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-04-01,add-to-wishlist,en,Unknown,,4895.0,,0.0257,17.04,0.82,,,310.0,19.33,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-04-01,add-to-wishlist,fr,Unknown,,597.0,,0.0335,19.01,0.65,,,48.0,8.12,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-05-01,add-to-wishlist,fr,Unknown,,982.0,,0.0394,16.51,0.49,,,157.0,3.06,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-06-01,add-to-wishlist,fr,Unknown,,789.0,,0.0347,17.65,0.61,,,108.0,4.44,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-07-01,add-to-wishlist,fr,Unknown,,1038.0,,0.0427,16.81,0.46,,,167.0,2.87,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,add-to-wishlist,fr,Unknown,,960.0,,0.0429,16.37,0.45,,,136.0,3.18,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,add-to-wishlist,fr,Unknown,,1911.0,,0.0391,16.95,0.5,,,322.0,2.98,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,add-to-wishlist,fr,Unknown,,2281.0,,0.0388,14.47,0.46,,,377.0,2.76,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,add-to-wishlist,fr,Unknown,,1676.0,,0.0381,16.15,0.5,,,231.0,3.64,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,add-to-wishlist,fr,Unknown,,1700.0,,0.0344,15.92,0.56,,,240.0,4.0,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,add-to-wishlist,fr,Unknown,,2012.0,,0.0318,13.32,0.47,,,452.0,2.1,add-to-wishlist,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,add-to-wishlist,fr,Unknown,,1134.0,,0.0402,15.18,1.59,,,290.0,2.96,add-to-wishlist,
