Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-03-01,add-to-wishlist,en,Unknown,,321.0,,0.0038,11.31,3.79,,,75.0,16.21,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-04-01,add-to-wishlist,en,Unknown,,906.0,,0.0122,17.53,1.8,,,80.0,20.4,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-05-01,add-to-wishlist,en,Unknown,,1435.0,,0.0115,19.38,1.32,,,220.0,8.63,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-06-01,add-to-wishlist,en,Unknown,,1371.0,,0.0169,20.17,1.42,,,194.0,10.0,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-07-01,add-to-wishlist,en,Unknown,,1524.0,,0.0173,19.07,1.25,,,96.0,19.88,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-08-01,add-to-wishlist,en,Unknown,,1952.0,,0.0212,18.26,0.98,,,264.0,7.27,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-09-01,add-to-wishlist,en,Unknown,,3523.0,,0.0173,16.56,1.09,,,278.0,13.81,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-10-01,add-to-wishlist,en,Unknown,,3316.0,,0.0177,16.98,1.09,,,392.0,9.18,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-11-01,add-to-wishlist,en,Unknown,,3296.0,,0.0183,16.84,1.02,,,326.0,10.31,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-12-01,add-to-wishlist,en,Unknown,,4122.0,,0.0225,17.83,0.93,,,441.0,8.71,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-01-01,add-to-wishlist,en,Unknown,,5019.0,,0.0188,12.17,0.73,,,1112.0,3.29,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-02-01,add-to-wishlist,en,Unknown,,3616.0,,0.0139,12.12,0.9,,,675.0,5.5,add-to-wishlist,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-03-01,add-to-wishlist,en,Unknown,,4298.0,,0.0244,20.26,0.95,,,429.0,9.31,add-to-wishlist,
