Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Polestar,Polestar 2026 + April.xlsx,2025-12-01,add-to-wishlist,en,Lotame,,381.0,,0.0167,11.55,0.82,,,64.0,5.0,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-01-01,add-to-wishlist,en,Lotame,,407.0,,0.0169,8.84,0.61,,,53.0,5.66,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-02-01,add-to-wishlist,en,Lotame,,116.0,,0.0153,10.09,0.66,,,42.0,10.94,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-03-01,add-to-wishlist,en,Lotame,,57.0,,0.014,12.59,1.13,,,26.0,11.53,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2025-12-01,add-to-wishlist,en,No Lotame,,1405.0,,0.0165,12.26,0.85,,,213.0,5.63,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-01-01,add-to-wishlist,en,No Lotame,,1872.0,,0.0155,8.57,0.64,,,341.0,3.52,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-02-01,add-to-wishlist,en,No Lotame,,1582.0,,0.0171,10.9,0.76,,,335.0,3.58,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-03-01,add-to-wishlist,en,No Lotame,,1239.0,,0.0163,13.12,0.97,,,207.0,5.79,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-04-01,add-to-wishlist,en,No Lotame,,2300.0,,0.0212,10.8,0.81,,,135.0,12.95,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2025-12-01,add-to-wishlist,fr,Lotame,,,,0.0167,11.66,0.79,,,,,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-01-01,add-to-wishlist,fr,Lotame,,,,0.0146,9.42,0.74,,,,,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-02-01,add-to-wishlist,fr,Lotame,,,,0.0122,10.21,3.96,,,,,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2026-03-01,add-to-wishlist,fr,Lotame,,,,0.0154,14.23,5.26,,,,,add-to-wishlist,
Polestar,Polestar 2026 + April.xlsx,2025-12-01,add-to-wishlist,fr,No Lotame,,455.0,,0.0175,10.69,0.66,,,84.0,3.57,add-to-wishlist,
